"date","inflation","nominal_interest_rate","exp_inflation","real_interest_rate","uncertainty","ibcbr","real_ex_rate","commodity_index","ind_prod","m1","logdiff_commodity_index","logdiff_m1","logdiff_ibcbr","inflation_adj","logdiff_m1_adj"
1996-07-01,0.141640388469958,0.2336,NA,NA,NA,NA,68.74,NA,NA,23107137,NA,-0.017421327849064,NA,0.120500343892588,0.0102190545434692
1996-08-01,0.0540966873236182,0.2408,NA,NA,NA,NA,69.44,NA,NA,23477144,NA,0.0158858212792197,NA,0.0766631548883872,0.0123519603945394
1996-09-01,0.0181492450119629,0.2513,NA,NA,NA,NA,69.35,NA,NA,25143255,NA,0.0685623175939831,NA,0.0541930967564742,0.0523490312032112
1996-10-01,0.0365999802881301,0.2377,NA,NA,NA,NA,69.36,NA,NA,23171129,NA,-0.0816826056622055,NA,0.0388700658571265,-0.065663695998688
1996-11-01,0.0390831011312591,0.2513,NA,NA,NA,NA,69.94,NA,NA,24383240,NA,0.0509889469804286,NA,0.0420810102294732,0.0168599225864991
1996-12-01,0.0578810244306212,0.2492,NA,NA,NA,NA,69.53,NA,NA,29807483,NA,0.200863458332226,NA,0.0436211547401528,0.0272368175749696
1997-01-01,0.151161087700131,0.2263,NA,NA,NA,NA,68.35,NA,NA,33123796,NA,0.105492467104273,NA,0.118358485210125,0.228318619367407
1997-02-01,0.0616778118644983,0.2534,NA,NA,NA,NA,67.35,NA,NA,36236904,NA,0.0898261105858111,NA,0.0678146150341684,0.108265330705402
1997-03-01,0.0629461808463812,0.2388,NA,NA,NA,NA,67.06,NA,NA,37448610,NA,0.0328915460577228,NA,0.0745148181648733,0.0543513814511331
1997-04-01,0.110863974560763,0.211,NA,NA,NA,NA,66.56,NA,NA,36298117,NA,-0.0312037264724303,NA,0.0908401169626397,-0.00453557739524352
1997-05-01,0.0503247634171551,0.21,NA,NA,NA,NA,67.43,NA,NA,36860743,NA,0.0153812427435582,NA,0.0458470103225229,0.0304155956320515
1997-06-01,0.0667596266408768,0.209,NA,NA,NA,NA,67.4,NA,NA,37841978,NA,0.0262719061541148,NA,0.0802601985468832,0.00607199972102736
1997-07-01,0.0267217941965934,0.1878,NA,NA,NA,NA,66.97,NA,NA,35906316,NA,-0.0525058023773326,NA,0.00623945615991663,-0.0290551516504458
1997-08-01,-0.00239736175920802,0.2069,NA,NA,NA,NA,66.66,NA,NA,37775700,NA,0.0507528255939889,NA,0.0198145969332469,0.0468808385641104
1997-09-01,0.00722380758421282,0.1918,NA,NA,NA,NA,67.64,NA,NA,39116753,NA,0.0348848019379133,NA,0.0426757664581409,0.0218629674544804
1997-10-01,0.027951830643242,0.412,NA,NA,NA,NA,68.54,NA,NA,39284420,NA,0.00427716191465066,NA,0.0297578907414556,0.0181250577726087
1997-11-01,0.0205918250055575,0.4492,NA,NA,NA,NA,68.87,NA,NA,40023882,NA,0.0186483233364996,NA,0.0233138285464579,-0.0154267233446632
1997-12-01,0.0528380019408186,0.4084,NA,NA,NA,NA,68.19,NA,NA,47362722,NA,0.168359137635811,NA,0.0381693729788762,-0.00128452913138805
1998-01-01,0.0886070727067956,0.3479,NA,NA,NA,NA,67.51,40.5,NA,42619626,NA,-0.105520612177241,NA,0.0555186127896302,0.0166229514310462
1998-02-01,0.0566181971940869,0.3369,NA,NA,NA,NA,67.94,40.35,NA,42820595,-0.00371057939653552,0.00470432703192358,NA,0.0594281203586847,0.0254061459178273
1998-03-01,0.041571673389913,0.2727,NA,NA,NA,NA,67.86,39.55,NA,41922152,-0.0200257005022948,-0.0212048038679811,NA,0.0498190754717908,0.00503754501910005
1998-04-01,0.0291832177661524,0.2285,NA,NA,NA,NA,68.41,39.29,NA,42274904,-0.00659566064329464,0.00837924936340073,NA,0.0119499494311489,0.0318539050081166
1998-05-01,0.0616778118644983,0.215,NA,NA,NA,NA,68.97,39.28,NA,42502086,-0.000254550084103133,0.00535953314240345,NA,0.0612598998926983,0.0193322052355769
1998-06-01,0.00240264176079208,0.2065,NA,NA,NA,NA,68.81,38.17,NA,44060070,-0.0286656167291266,0.0360007730367435,NA,0.0196050413012924,0.0148658282124871
1998-07-01,-0.0143053391355358,0.1963,NA,NA,NA,NA,69.27,37.28,NA,43981738,-0.0235928769397482,-0.00177942780704754,NA,-0.0352531678891803,0.0122272755366858
1998-08-01,-0.0595121910589623,0.19,NA,NA,NA,NA,70.01,36.86,NA,44308331,-0.0113300375757133,0.00739821575250588,NA,-0.038662766170632,0.00688756428652848
1998-09-01,-0.0260828910050399,0.405,NA,NA,NA,NA,72.56,36.63,NA,43933681,-0.0062593754509539,-0.00849147118671922,NA,0.00864624441966155,-0.0173114084324475
1998-10-01,0.00240264176079208,0.426,NA,NA,NA,NA,74.81,36.89,NA,43031345,0.00707293481786087,-0.0207524432499113,NA,0.00332897906528876,-0.00876374918431646
1998-11-01,-0.0143053391355358,0.344,NA,NA,NA,NA,74.4,36.74,NA,46117494,-0.00407443182160439,0.0692635537867474,NA,-0.0124218842078719,0.0322269504758392
1998-12-01,0.0403267051542395,0.2896,NA,NA,NA,NA,75.26,35.78,NA,50707266,-0.0264770017064064,0.0948768565270584,NA,0.0252201992434081,-0.0721922337389352
1999-01-01,0.0873106619155055,0.3694,NA,NA,NA,NA,93.04,44.72,NA,49957188,0.22303175076627,-0.0149028152928992,NA,0.0549033784611077,0.107110801005575
1999-02-01,0.133537296586903,0.39,NA,NA,NA,NA,115.55,54.93,NA,47817257,0.205638818507685,-0.0437797991971607,NA,0.134128735326081,-0.0195915081704946
1999-03-01,0.140286196499853,0.4193,NA,NA,NA,NA,112.06,54.19,NA,45497048,-0.0135632577765059,-0.0497391547168462,NA,0.146216233697311,-0.0193550516595785
