"","period","inflation","inflation_target","nominal_interest_rate","mean_exp_inflation","real_interest_rate","unemployment_rate","output_gap","consumption","real_wage_rate","mean_real_savings_balance","mean_indexation_strategy","mean_substitution_strategy","stdev_real_savings_balance","stdev_indexation_strategy","stdev_substitution_strategy"
"32",32,0.0181012564691106,0.02,0.0245978799011575,0.0214268503716547,0.00317102952950282,0.0322809240100621,-0.0243197327794894,63.1224673596387,0.145377156963115,0.0267665332485617,1.0072493780099,1.0030765385009,0.179835557168375,0.295287809299503,0.296888154936394
"33",33,0.013526973601081,0.02,0.0123929051217721,0.0203552842858832,-0.00796237916411109,0.0373904125053566,-0.0281852516151698,63.9143519736686,0.145569517640792,0.0251449685194134,1.00715608979506,1.00311378184091,0.182513048948567,0.294907038887889,0.296565896464884
"34",34,0.023635023351124,0.02,0.00752593046234558,0.0190963322125105,-0.0115704017501649,0.034810237635178,-0.0262261957711838,64.9926981083885,0.145470621644789,0.0233385648821624,1.00755371475449,1.0036306432223,0.180088643061772,0.294510470352902,0.296638257926178
"35",35,0.0283269621836141,0.02,0.0186142713309355,0.0202018828851769,-0.00158761155424143,0.0297773280969264,-0.0224223554441879,64.8883260235324,0.145282089045327,0.0239271610098882,1.0078020054565,1.00396517974954,0.175445039087721,0.294519233528767,0.296585845470157
"36",36,0.0181693468140604,0.02,0.0247384848026438,0.0214869102776,0.00325157452504383,0.0324744581480693,-0.0244660811607105,64.3625425177206,0.145384426366173,0.0248992327541442,1.0082173644047,1.00409236118449,0.175714841898553,0.294680936968892,0.296738802255336
"37",37,0.013508167678288,0.02,0.0124970590151361,0.0203546793782537,-0.00785762036311765,0.0375829247967597,-0.0283310201830615,65.0637166987914,0.145576796662605,0.0234101083929396,1.00866780106572,1.00414701422454,0.177911178990399,0.294227970148326,0.296718620381123
"38",38,0.0237041032156974,0.02,0.00758035737435665,0.0190837843352624,-0.0115034269609058,0.0350032659357533,-0.0263722581901056,66.0791135604471,0.145477895721432,0.0216992817042695,1.00891976325888,1.00450767237274,0.175252192815176,0.294061030497806,0.296699783046949
"39",39,0.0284572559243602,0.02,0.0186639223733796,0.0201906772986761,-0.00152675492529658,0.0299713629290802,-0.022568988424894,65.9401880113168,0.145289353694633,0.0223287353810275,1.00918695801185,1.00492301618611,0.17039958503332,0.294063414862112,0.296959168117667
"40",40,0.018180346766195,0.02,0.0249275956248083,0.021511348417822,0.00341624720698627,0.0326679535811842,-0.0246124075902232,65.3683988235331,0.145391696132728,0.0233535282592227,1.00956570035522,1.0049208588147,0.170357356095909,0.293595103917952,0.29707859217384
"41",41,0.0134979790849508,0.02,0.0125146064075235,0.0203826159075573,-0.00786800950003384,0.0377753985876296,-0.0284767668862146,66.0191405169025,0.145584076048396,0.0219261493287485,1.01021172757686,1.00468455233833,0.172137215471998,0.293945472365908,0.297492522959337
"42",42,0.0238711300320458,0.02,0.0076072035013381,0.0191578359904948,-0.0115506324891567,0.0351962556325988,-0.0265182987002121,66.9917705238873,0.145485170161806,0.0202730633988776,1.01050981088904,1.00506157441111,0.169087095785796,0.293219899006007,0.297651427669801
"43",43,0.0285846570037436,0.02,0.0188989220100011,0.0202067024356216,-0.00130778042562056,0.0301653589562081,-0.0227155994112029,66.8061424098356,0.145296618707198,0.0209723562530266,1.01124240024794,1.00549837204708,0.164133861417181,0.292982323905207,0.297543098614001
"44",44,0.0181692787804709,0.02,0.0250658398324952,0.0214697619075694,0.00359607792492577,0.0328614103171475,-0.0247587120713203,66.193822789709,0.145398966262799,0.0220497936675986,1.01123999579577,1.0057051817184,0.163845113360722,0.29311484838672,0.29740709661924
"45",45,0.013444833229059,0.02,0.012563384628767,0.0203851068906961,-0.00782172226192905,0.037967833885666,-0.0286224917279088,66.7973371862686,0.145591355798185,0.0206840350892096,1.01158649730617,1.00591335329395,0.165382498765759,0.293115086319812,0.2970890013791
"46",46,0.023848567926504,0.02,0.00763954105200944,0.0190900350422251,-0.0114504939902157,0.0353892067334349,-0.0266643173047899,67.7327428038839,0.145492444965929,0.0190867191788452,1.0117592749382,1.0057758965325,0.162370826273145,0.293044453054749,0.297177689078748
"47",47,0.0287006355430484,0.02,0.0189074127887649,0.0201773258364179,-0.00126991304765296,0.0303593161860704,-0.0228621884064137,67.546643900857,0.145303884083041,0.0197674921746501,1.01152610229638,1.00578866113251,0.157438652700427,0.292545265305127,0.297162281095128
"48",48,0.0181987580262873,0.02,0.0251953410840065,0.021569068263994,0.00362627282001257,0.0330548283636982,-0.0249049946072937,66.9118187629526,0.145406236756404,0.0208602421748533,1.01217906192929,1.00597516697088,0.156955247241781,0.29248737992046,0.296883931277752
"49",49,0.0134233502395392,0.02,0.0126526078338937,0.0204109289697697,-0.00775832113587598,0.0381602306985672,-0.0287681947114233,67.4683939882275,0.145598635911988,0.0195585549046143,1.01258590378204,1.00555568579137,0.158295823239326,0.292508840068353,0.297054354815418
"50",50,0.0239302959382538,0.02,0.00764826171119351,0.0190889491500725,-0.011440687438879,0.0355821192459803,-0.0268103140071245,68.3803902147264,0.145499720133819,0.0179909288886681,1.01303314735966,1.0055169859354,0.155251050558959,0.292758479533405,0.297389469081372
"51",51,0.0289251755451627,0.02,0.0190406102696036,0.0202757985440683,-0.00123518827446464,0.0305532346264264,-0.0230087554138248,68.197484694695,0.14531114982218,0.0186479885252929,1.01359015801711,1.00564763826521,0.150455961199062,0.292561192247149,0.297915858441322
"52",52,0.0181639385462077,0.02,0.0254562545200334,0.0215656599703003,0.00389059454973307,0.0332482077285738,-0.0250512552014354,67.5448837358248,0.14541350761356,0.0197520375161412,1.01465861377162,1.00556507949886,0.149918633594378,0.292922076594756,0.29762997444141
"53",53,0.0134511410679157,0.02,0.012634759546694,0.0204082069151943,-0.00777344736850026,0.0383525890340298,-0.0289138758400366,68.0878598904683,0.145605916389824,0.018453154483343,1.01465567023967,1.00554233804996,0.151083895777257,0.29287380053377,0.29770589341886
"54",54,0.0240296162540981,0.02,0.00769495831498853,0.0190947845459697,-0.0113998262309812,0.0357749931779522,-0.0269562888105013,68.9741553245465,0.145506995665495,0.0169202830632871,1.01506294783645,1.00528763988294,0.147943693758907,0.292835780233051,0.29784272919794
"55",55,0.0289654352259596,0.02,0.0191551733045176,0.0202282829930964,-0.0010731096885788,0.0307471142850334,-0.0231553004367345,68.776743660041,0.145318415924634,0.0175935015435426,1.01465437434154,1.00561259636308,0.143106271813302,0.292719777401642,0.29769011909975
"56",56,0.018167708031313,0.02,0.0255326412418253,0.0215966950665121,0.00393594617531316,0.0334415484195101,-0.0251974938570365,68.1158871519914,0.145420778834287,0.018691912858613,1.01463128966498,1.0053767864807,0.142359697708994,0.293102250780135,0.297627124002116
"57",57,0.0133077101588204,0.02,0.0126947872397324,0.0204067132906126,-0.0077119260508802,0.0385449088997488,-0.0290595351170269,68.6148151634984,0.145613197231711,0.0174569208381528,1.01473872117402,1.0047509756826,0.143374463582937,0.293304112831435,0.297609493186919
"58",58,0.0241323583897424,0.02,0.00769994444802367,0.0191132866536605,-0.0114133422056369,0.0359678285370666,-0.027102241718205,69.4860359948924,0.145514271560975,0.015941939532223,1.01487254184226,1.00459445114589,0.140331970486209,0.29358068188301,0.297730842856629
"59",59,0.0290967043977415,0.02,0.0192638292344532,0.0202511009613786,-0.000987271726925447,0.0309409551696475,-0.0233018234784403,69.2878639304513,0.145325682390419,0.0166049740761624,1.01503721495588,1.00359383675749,0.13561064786744,0.293426630747299,0.297917036200055
"60",60,0.0181950660687414,0.02,0.0256607114588019,0.0216108694949235,0.00404984196387843,0.0336348504442417,-0.0253437105773876,68.6213341070535,0.145428050418602,0.0176952637687568,1.01510546877047,1.00367454269107,0.134752066232723,0.293247240825682,0.297690567554553
"61",61,0.0132536091811696,0.02,0.0127712234484639,0.0204197019187177,-0.00764847847025384,0.038737190303418,-0.0292051725456719,69.0896870182353,0.145620478437667,0.0164997407709578,1.01505727099212,1.00381452990458,0.135609910588324,0.293017857244534,0.298125092357952
"62",62,0.0241686767353031,0.02,0.00771375989774873,0.0190792789993839,-0.0113655191016352,0.0361606253310374,-0.0272481727335198,69.945248160502,0.145521547820277,0.0150074477601018,1.01563253733855,1.00425433672307,0.132551538337837,0.293320320082029,0.298518484615395
"63",63,0.0292058364176555,0.02,0.0193445612389999,0.0202849407275091,-0.000940379488509245,0.0311347572880231,-0.0234483245422393,69.7562926386753,0.145332949219556,0.0156416435056339,1.01592255370168,1.00442101919516,0.128090059363211,0.293366252627219,0.298271883186818
"64",64,0.018183867700715,0.02,0.0257813232102922,0.0216165165757676,0.00416480663452453,0.0338281138105013,-0.0254899053657791,69.0803513337851,0.145435322366524,0.0167313823189491,1.01610727407374,1.00524670175728,0.12714601906561,0.293686800285808,0.298085232745008
"65",65,0.0132863695072395,0.02,0.0127700202287316,0.0204403518827046,-0.00767033165397299,0.0389294332527293,-0.0293507881292487,69.5274999832452,0.145627760007712,0.0155564909465003,1.01688801105297,1.00537820570952,0.127854681883289,0.293574724908797,0.298357247719638
"66",66,0.0242498619049966,0.02,0.00776344054248304,0.0191075831826269,-0.0113441426401438,0.0363533835675775,-0.0273940818597297,70.3666977841803,0.145528824443419,0.01408795078623,1.01711115910765,1.00520359405844,0.124830840639192,0.293413322355198,0.298047138585803
