scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,3,400,0.019578966728934954,0.02,0.0,0.9715316174187062,0.38688057694676603,0.03112730817632979,0.09623315625932935
1,1,3,450,0.019764407057666262,0.02,0.0,0.989659071215658,0.40995096361834865,0.027495541928823683,0.10638141549859237
1,1,3,500,0.019614313067411047,0.02,0.0,0.9753243519258865,0.3446470748194635,0.03010952684837531,0.11129725451443583
1,1,3,550,0.01868111839829579,0.02,0.0,0.927963204869861,0.4419248421600264,0.02858821675729674,0.10697887246471181
1,1,3,600,0.01823066588607267,0.02,0.0,0.9017768966207844,0.4513229751753581,0.03838980997010078,0.1212855620812748
1,1,3,650,0.01854984225138945,0.02,0.0,0.9344918523130982,0.4260615042424177,0.027793578756803272,0.10310586858583529
1,1,3,700,0.018817061597686813,0.02,0.0,0.9312872795914974,0.49484953534244924,0.033069073738256294,0.0897474165452397
1,1,3,750,0.0200558085864843,0.02,0.0,0.9969637866471331,0.4763632742043438,0.032633151909270755,0.10268605640255021
1,1,3,800,0.019838443442583484,0.02,0.0,0.9902058233850699,0.6186914790932535,0.028029649868800202,0.09963959167317744
1,1,4,100,0.019772467843033926,0.02,0.0,0.9905130502263362,0.3237692297835675,0.03238972622832513,0.12846329306000492
1,1,4,150,0.020094134746751962,0.02,0.0,1.0096162323617122,0.30757951747940354,0.03086468380793541,0.11761119656063365
1,1,4,200,0.020647891491495457,0.02,0.0,1.0339886649739558,0.39428348029229054,0.02915221231812128,0.1272075369873186
1,1,4,250,0.020590709622685485,0.02,0.0,1.0249621331466594,0.37023754023887684,0.031133925937379195,0.1345410834700763
1,1,4,300,0.020197351525117185,0.02,0.0,1.0013890734283994,0.3983255667229009,0.028718514505228082,0.12358003571787371
1,1,4,350,0.018517339209463357,0.02,0.0,0.9198536507202874,0.48270698516391664,0.04168119367444938,0.12220880606497345
1,1,4,400,0.018647840786368493,0.02,0.0,0.9201005425375334,0.4409798121187174,0.036771769782041025,0.09263097089838707
