experiment,simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,welfare,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy,non_consuming_households
19,2,33,0.014301485967855567,0.02,-0.005,0.017159477450027074,-0.022159477450027075,0.2750196640421467,-1044.6284554963017,-0.21432185919278124,69.58105436446382,0.15625881280039264,-0.024824083278297333,1.0003994483200067,0.985229811673051,0.02222437549727034,0.07081791334307762,0.14462631586810254,45
19,2,34,0.014232193386678253,0.02,-0.005,0.017155054730827235,-0.022155054730827236,0.28226946740172526,-1074.0224237581017,-0.22022184184572235,69.81890687843278,0.1566519198379806,-0.0260428929903839,0.9964285196578352,0.9898491039132665,0.021313150840934762,0.0714571993158738,0.1418251060898691,35
19,2,35,0.01414666281108427,0.02,-0.005,0.01713552041724806,-0.02213552041724806,0.28944677272770797,-1076.926995654124,-0.226077519084656,70.16782721941799,0.15704601583190478,-0.027472844023597887,0.9922255119218636,0.9935526698810574,0.022145518895419783,0.0704741258850079,0.14469071138470532,27
19,2,36,0.014042175545869827,0.02,-0.005,0.017104370820807704,-0.022104370820807705,0.2965523050004309,-1076.669053622552,-0.23188922361729125,70.64058883597922,0.15744110327012528,-0.0291385091156071,0.9891766851590631,0.9968776184999426,0.02223417256080962,0.07224396038365839,0.14471960724078967,21
19,2,37,0.01401339177834915,0.02,-0.005,0.017062674161470587,-0.022062674161470588,0.3035867819504266,-1082.4803659978056,-0.23765728565289646,71.24777231682717,0.15783718464686122,-0.031060100921620367,0.9897463029568676,0.9984498696362406,0.02193438010903242,0.07289079534568975,0.14516265418953933,19
19,2,38,0.013887853846658027,0.02,-0.005,0.017034629662070845,-0.022034629662070846,0.31055091413092234,-1078.3900231897073,-0.24338203292106253,71.88268659110558,0.1582342624626067,-0.033022949616844044,0.9838602524628434,1.0028742769214047,0.02372823030926303,0.06984745439236087,0.1448993898057415,17
19,2,39,0.013742451346267509,0.02,-0.005,0.016989222898603676,-0.021989222898603677,0.31744540498961316,-1080.6527705160158,-0.2490637906903227,72.54759379233353,0.15863233922414627,-0.03503146309481358,0.9804502112379322,1.0015726441109722,0.023910260851086114,0.06718501183522498,0.14786932380659293,13
19,2,40,0.013691014193613044,0.02,-0.005,0.01693016898757428,-0.021930168987574283,0.3242709509397171,-1061.1087632761253,-0.25470288178663403,73.29715668962777,0.15903141744457097,-0.03719503640183243,0.9799334252249233,1.0007047743373132,0.024927982751492727,0.06685557241661624,0.15210216445107774,16
19,2,41,0.013604445515390494,0.02,-0.005,0.01688778270069268,-0.021887782700692682,0.3310282414303199,-1056.4036803038944,-0.2602996266117199,73.96842429257354,0.15943149964329417,-0.039187070194833314,0.9751868829461499,1.0023566179800825,0.023706971286610663,0.07002617127255968,0.1530472246481112,16
19,2,42,0.01344709467856766,0.02,-0.005,0.016844947539112635,-0.021844947539112636,0.3377179590160167,-1043.2756144958796,-0.2658543431612742,74.68267239678063,0.1598325883460673,-0.04125094137349475,0.9693824656714396,1.001795853653832,0.02604784307308927,0.07059659257970344,0.15283595138048206,13
