simulation_number,period,inflation,inflation_target,nominal_interest_rate,mean_exp_inflation,real_interest_rate,unemployment_rate,output_gap,consumption,real_wage_rate,mean_real_savings_balance,mean_indexation_strategy,mean_substitution_strategy,stdev_real_savings_balance,stdev_indexation_strategy,stdev_substitution_strategy
1,128,0.0049140792168359225,0.02,0,0.019690539515530202,-0.019690539515530202,0.040850667861534136,-0.03079717452537778,72.2838152295971,0.14569831190710314,0.008535111314902012,1.0531213112932623,0.981176438915115,0.04638951546195322,0.29535443518800925,0.2909940139582194
1,129,0.03564582632242848,0.02,0,0.017427412811602927,-0.017427412811602927,0.0312591745401495,-0.02353720196290665,73.5880059497349,0.14533632572699548,0.006513813737843517,1.0538176687242404,0.9811650034803202,0.04140861939821018,0.30223756693891957,0.288113007192897
1,130,0.040834910810727314,0.02,0.03242832669060047,0.02157690794156618,0.010851418749034294,0.021571766285551006,-0.016222847386452077,72.95178422428118,0.14497523889838249,0.008334921957716249,1.0533284335010384,0.9888905069350009,0.04025545988810538,0.2999735652089205,0.2899203552662994
1,131,0.009638680867272141,0.02,0.04060140988372862,0.025273374377369928,0.015328035506358695,0.03135604862269554,-0.02361043758823156,71.62491687185494,0.1453399593622437,0.010072880377774348,1.036186742946485,0.9938921984509593,0.03997211310728636,0.3050335648435924,0.2916205858615803
1,132,0.004694156163246488,0.02,0.0013765535998735423,0.020394555831854705,-0.019018002231981163,0.04104248813646859,-0.030942551314627864,72.53833367476253,0.1457055973691127,0.007537323807287928,1.0334856363845824,0.9852916041635554,0.04363112682941586,0.31096937888330944,0.2904545215732486
1,133,0.03703515576585105,0.02,0,0.018342606636661426,-0.018342606636661426,0.03145291301783323,-0.02368366772081576,73.95675287392308,0.14534359308833844,0.005296845455261982,1.036526684250264,0.97537430965055,0.03911159059495002,0.3171275040559974,0.2919046887543904
1,134,0.04015833229912712,0.02,0.034051715632895,0.02223856098849522,0.011813154644399776,0.021767442148011584,-0.01637041027011843,73.12536805690735,0.1449824882040299,0.007533877400917279,1.0199710804031892,0.9821579497871358,0.03790355335426873,0.32425059986233995,0.2922404382505747
1,135,0.008757230117065574,0.02,0.03974992207930561,0.02489470728011529,0.01485521479919032,0.031549767726531515,-0.02375689236107137,71.71607703690138,0.1453472269052821,0.00943792910704171,1.015771149070878,0.9794451878219144,0.03897548249358249,0.3205451083506537,0.2873262024674714
1,136,0.004125278211527393,0.02,0.0002899860964791223,0.020153054529960565,-0.019863068433481443,0.041234270049266226,-0.03108790629790481,72.74450457882057,0.14571288319542267,0.006647907035160326,1.0203571365968396,0.984296369290345,0.04137041351241903,0.3205361580777849,0.2911745676283101
1,137,0.03507818094453597,0.02,0,0.017880536722240527,-0.017880536722240527,0.0316466127497589,-0.0238301115094105,74.17109561807106,0.14535086081307677,0.004421740496434908,1.0222733263009751,0.9855091350298514,0.03710602828742912,0.3218555243239083,0.2998688558666962
